route,dir,km,status
N-55,SB,1222,Good
N-55,SB,1221,Fair
N-55,SB,1220,Fair
N-55,SB,1219,Fair
N-55,SB,1218,Fair
N-55,SB,1217,Good
N-55,SB,1216,Good
N-55,SB,1215,Good
N-55,SB,1214,Fair
N-55,SB,1213,Good
N-55,SB,1212,Good
N-55,SB,1211,Poor
N-55,SB,1210,Fair
N-55,SB,1209,Fair
N-55,SB,1208,Fair
N-55,SB,1207,Fair
N-55,SB,1206,Poor
N-55,SB,1205,Fair
N-55,SB,1204,Good
N-55,SB,1203,Fair
N-55,SB,1202,Good
N-55,SB,1201,Fair
N-55,SB,1200,Fair
N-55,SB,1199,Fair
N-55,SB,1198,Good
N-55,SB,1197,Good
N-55,SB,1196,Fair
N-55,SB,1195,Fair
N-55,SB,1194,Fair
N-55,SB,1193,Under Construction
N-55,SB,1192,Under Construction
N-55,SB,1191,Under Construction
N-55,SB,1190,Under Construction
N-55,SB,1189,Under Construction
N-55,SB,1188,Good
N-55,SB,1038,Poor
N-55,SB,1037,Poor
N-55,SB,1036,Poor
N-55,SB,1035,Poor
N-55,SB,1034,Fair
N-55,SB,1033,Poor
N-55,SB,1032,Poor
N-55,SB,1031,Poor
N-55,SB,1030,Poor
N-55,SB,1029,Poor
N-55,SB,1028,Fair
N-55,SB,1027,Poor
N-55,SB,1026,Poor
N-55,SB,1025,Poor
N-55,SB,1024,Good
N-55,SB,1023,Fair
N-55,SB,1022,Fair
N-55,SB,1021,Fair
N-55,SB,1020,Fair
N-55,SB,1019,Very Poor
N-55,SB,1018,Very Poor
N-55,SB,1017,Fair
N-55,SB,1016,Fair
N-55,SB,1015,Fair
N-55,SB,1014,Fair
N-55,SB,1013,Good
N-55,SB,1012,Good
N-55,SB,1011,Good
N-55,SB,1010,Good
N-55,SB,1009,Fair
N-55,SB,1008,Fair
N-55,SB,1007,Fair
N-55,SB,1006,Good
N-55,SB,1005,Good
N-55,SB,1004,Good
N-55,SB,1003,Fair
N-55,SB,1002,Fair
N-55,SB,1001,Poor
N-55,SB,1000,Fair
N-55,SB,999,Poor
N-55,SB,998,Poor
N-55,SB,997,Poor
N-55,SB,996,Fair
N-55,SB,995,Fair
N-55,SB,994,Good
N-55,SB,993,Fair
N-55,SB,992,Fair
N-55,SB,991,Under Construction
N-55,SB,990,Poor
N-55,SB,989,Poor
N-55,SB,988,Fair
N-55,SB,987,Fair
N-55,SB,986,Good
N-55,SB,985,Fair
N-55,SB,984,Fair
N-55,SB,983,Fair
N-55,SB,982,Good
N-55,SB,981,Fair
N-55,SB,980,Good
N-55,SB,979,Good
N-55,SB,978,Fair
N-55,SB,977,Fair
N-55,SB,976,Poor
N-55,SB,975,Poor
N-55,SB,974,Poor
N-55,SB,973,Poor
N-55,SB,972,Poor
N-55,SB,971,Poor
N-55,SB,970,Fair
N-55,SB,969,Poor
N-55,SB,968,Poor
N-55,SB,967,Fair
N-55,SB,966,Fair
N-55,SB,965,Good
N-55,SB,964,Good
N-55,SB,963,Good
N-55,SB,962,Good
N-55,SB,961,Good
N-55,SB,960,Fair
N-55,SB,959,Fair
N-55,SB,958,Fair
N-55,SB,957,Fair
N-55,SB,956,Fair
N-55,SB,955,Fair
N-55,SB,954,Fair
N-55,SB,953,Fair
N-55,SB,952,Fair
N-55,SB,951,Good
N-55,SB,950,Fair
N-55,SB,949,Fair
N-55,SB,948,Poor
N-55,SB,947,Poor
N-55,SB,946,Poor
N-55,SB,945,Poor
N-55,SB,944,Fair
N-55,SB,943,Poor
N-55,SB,942,Under Construction
N-55,SB,941,Good
N-55,SB,940,Good
N-55,SB,939,Good
N-55,SB,938,Good
N-55,SB,937,Good
N-55,SB,936,Good
N-55,SB,935,Good
N-55,SB,934,Good
N-55,SB,933,Good
N-55,SB,932,Good
N-55,SB,931,Good
N-55,SB,930,Good
N-55,SB,929,Good
N-55,SB,928,Good
N-55,SB,927,Good
N-55,SB,926,Good
N-55,SB,925,Good
N-55,SB,924,Good
N-55,SB,799,Fair
N-55,SB,798,Fair
N-55,SB,797,Fair
N-55,SB,796,Good
