Sr No,Toll plaza,Latitude,Longitude,Location Name,Status,Class 1 ,Class 2,Class 3,Class 4,Class 5,Total,Cars,Wagon/Jeep,Bus,2/3 axles,4/5/6 axles,Total
1,Iqbal Shaheed (ETTM),33.896738,72.265103,"Iqbal 
Shaheed",ETTM Data," 2,374,122 "," 757,892 "," 199,989 "," 295,965 "," 140,119 "," 3,768,087 "," 6,504 "," 2,076 ", 548 , 811 , 384 ," 10,324 "
2,Harro (ETTM),33.824635,72.525989,Harro,ETTM Data," 2,859,987 "," 787,254 "," 225,143 "," 1,254,824 "," 340,888 "," 5,468,096 "," 7,836 "," 2,157 ", 617 ," 3,438 ", 934 ," 14,981 "
3,Sangjani (ETTM),33.668989,72.869315,Sangjani,ETTM Data," 10,917,901 "," 1,817,741 "," 336,986 "," 1,490,630 "," 271,335 "," 14,834,593 "," 29,912 "," 4,980 ", 923 ," 4,084 ", 743 ," 40,643 "
4,Mandra (ETTM),33.393709,73.228007,Mandra,ETTM Data," 10,326,377 "," 1,878,503 "," 502,517 "," 412,346 "," 262,763 "," 13,382,506 "," 28,291 "," 5,147 "," 1,377 "," 1,130 ", 720 ," 36,664 "
5,Tarraki / Tarakki (ETTM),33.11872,73.4447,Terraki,ETTM Data," 6,266,355 "," 1,213,635 "," 596,590 "," 438,089 "," 124,922 "," 8,639,591 "," 17,168 "," 3,325 "," 1,634 "," 1,200 ", 342 ," 23,670 "
6,Jhelum (ETTM),32.915191,73.723483,Jhelum,ETTM Data," 8,290,914 "," 1,171,157 "," 378,293 "," 786,155 "," 217,929 "," 10,844,448 "," 22,715 "," 3,209 "," 1,036 "," 2,154 ", 597 ," 29,711 "
7,Chenab SBC (ETTM),32.491634,74.089487,"Chenab
 (SB)",ETTM Data," 4,170,413 "," 590,760 "," 437,363 "," 403,429 "," 105,660 "," 5,707,625 "," 11,426 "," 1,619 "," 1,198 "," 1,105 ", 289 ," 15,637 "
8,Chenab NBC (ETTM),32.491634,74.089487,"Chenab
 (NB)",ETTM Data," 4,377,904 "," 496,997 "," 448,412 "," 383,898 "," 93,908 "," 5,801,119 "," 11,994 "," 1,362 "," 1,229 "," 1,052 ", 257 ," 15,893 "
9,Gujranwala (ETTM),~32.0337,~74.2109,Gujranwala,ETTM Data," 9,633,796 "," 1,074,679 "," 847,870 "," 356,922 "," 149,709 "," 12,062,976 "," 26,394 "," 2,944 "," 2,323 ", 978 , 410 ," 33,049 "
13,Okara (ETTM),30.73479,73.301317,Okara,ETTM Data," 3,663,350 "," 1,151,922 "," 368,776 "," 511,558 "," 660,270 "," 6,355,876 "," 10,037 "," 3,156 "," 1,010 "," 1,402 "," 1,809 "," 17,413 "
14,Harrapa (ETTM),30.58401,72.859139,Harrapa,ETTM Data," 3,233,696 "," 887,790 "," 203,588 "," 346,649 "," 509,086 "," 5,180,809 "," 8,859 "," 2,432 ", 558 , 950 ," 1,395 "," 14,194 "
20,Khanbela,~28.9432,~70.7169,Khan Bela,ETTM Data," 1,931,978 "," 281,269 "," 78,381 "," 771,257 "," 1,290,841 "," 4,353,726 "," 5,293 ", 771 , 215 ," 2,113 "," 3,537 "," 11,928 "
21,Qutbal (ETTM),33.5973771,72.73979217,Qutbal,ETTM Data," 2,134,894 "," 335,739 "," 51,565 "," 121,245 "," 72,974 "," 2,716,417 "," 5,849 ", 920 , 141 , 332 , 200 ," 7,442 "
